instance,pn,pm,tw,tw_lb,minseps,pmcs,iters,time,time_sat,time_bt
hailfinder,12,22,4,4,0,43,48,0.06,0.05,0.00
hepar2,0,0,6,-1,0,0,0,0.02,0.00,0.00
homer,130,831,-1,11,0,694,705,7200.01,0.00,0.00
huck,0,0,10,-1,0,0,0,0.01,0.00,0.00
inithx.i.1,err
inithx.i.2,err
inithx.i.3,err
jean,19,83,9,9,0,24,33,0.20,0.18,0.00
latin_square_10,err
le450_15a,err
le450_15b,err
le450_15c,err
le450_15d,err
le450_25a,err
le450_25b,err
le450_25c,err
le450_25d,err
le450_5a,err
le450_5b,err
le450_5c,err
le450_5d,err
mainuk,17,64,7,7,0,65,73,0.19,0.17,0.00
mildew,14,29,4,4,0,69,74,0.14,0.10,0.00
miles1000,124,3104,-1,22,0,123,145,7200.01,0.00,0.00
miles1500,128,5198,-1,35,0,105,140,7200.01,0.00,0.00
miles250,27,127,9,9,0,127,137,3.61,3.58,0.00
miles500,108,1067,-1,10,0,206,216,7200.00,0.00,0.00
miles750,119,1993,-1,17,0,137,154,7200.00,0.00,0.00
mug100_1,0,0,3,-1,0,0,0,0.04,0.00,0.00
mug100_25,0,0,3,-1,0,0,0,0.06,0.00,0.00
mug88_1,0,0,3,-1,0,0,0,0.04,0.00,0.00
mug88_25,0,0,3,-1,0,0,0,0.04,0.00,0.00
mulsol.i.1,138,3925,-1,24,0,144,168,7200.01,0.00,0.00
mulsol.i.2,173,3885,-1,23,0,20,43,7200.07,0.00,0.00
mulsol.i.3,174,3916,-1,20,0,10,30,7200.19,0.00,0.00
mulsol.i.4,175,3946,-1,22,0,17,39,7200.02,0.00,0.00
mulsol.i.5,176,3973,-1,21,0,13,34,7200.01,0.00,0.00
mulsol.i.5-pp,119,2556,-1,30,0,54,84,7200.01,0.00,0.00
myciel2,0,0,2,-1,0,0,0,0.02,0.00,0.00
myciel3,11,20,5,5,0,32,38,0.04,0.03,0.00
myciel4,23,71,10,10,0,182,193,1.28,1.26,0.01
myciel5,47,236,19,19,0,1011,1031,181.51,181.35,0.10
myciel6,95,755,-1,27,0,326,353,7200.00,0.00,0.00
myciel7,191,2360,-1,15,0,59,74,7200.17,0.00,0.00
oesoca42,0,0,3,-1,0,0,0,0.02,0.00,0.00
oesoca,0,0,3,-1,0,0,0,0.01,0.00,0.00
oesoca+,25,123,11,11,0,682,694,6.82,6.78,0.01
oesoca+-pp,14,75,11,11,0,18,30,0.03,0.02,0.00
pace16tw_4x12_torusGrid,48,96,8,8,0,96000,96009,5615.70,5613.29,2.32
pace16tw_6s10.gaifman,err
pace16tw_6s11-opt.gaifman,err
pace16tw_6s12.gaifman,err
pace16tw_8x6_torusGrid,48,96,-1,11,0,41376,41387,7200.00,0.00,0.00
pace16tw_aes_32_3_keyfind_1.gaifman,err
pace16tw_aes_64_1_keyfind_1.gaifman,err
pace16tw_AhrensSzekeresGeneralizedQuadrangleGraph_3,27,135,17,17,0,297,315,8.03,7.98,0.01
pace16tw_AProVE07-01.gaifman,err
pace16tw_AProVE07-03.gaifman,err
pace16tw_BalancedTree_3_5,0,0,1,-1,0,0,0,0.02,0.00,0.00
pace16tw_BiggsSmithGraph,102,153,-1,6,0,1326,1332,7200.00,0.00,0.00
pace16tw_BlanusaSecondSnarkGraph,18,27,4,4,0,140,145,0.41,0.40,0.00
pace16tw_BrinkmannGraph,21,42,8,8,0,497,506,5.70,5.67,0.01
pace16tw_BrouwerHaemersGraph,81,810,-1,29,0,81,110,7200.01,0.00,0.00
pace16tw_BubbleSortGraph_5,120,240,-1,8,0,1680,1688,7200.01,0.00,0.00
pace16tw_CameronGraph,231,3465,-1,17,0,0,17,7200.25,0.00,0.00
pace16tw_Cell120,err
pace16tw_ChvatalGraph,12,24,6,6,0,88,95,0.09,0.06,0.00
pace16tw_ClebschGraph,16,40,8,8,0,96,105,0.27,0.25,0.00
pace16tw_contiki_calc_input_to_operand1,0,0,2,-1,0,0,0,0.01,0.00,0.00
pace16tw_contiki_collect_enqueue_dummy_packet,0,0,2,-1,0,0,0,0.03,0.00,0.00
pace16tw_contiki_collect_received_announcement,0,0,2,-1,0,0,0,0.02,0.00,0.00
